District,Total Employed,Total Persons,Unemployed,Unemployment Rate (%)
Armadale District,221535.0,245095.0,23560.0,10.63
Cannington District,341107.0,375806.0,34699.0,10.17
Fremantle District,441626.0,474743.0,33117.0,7.5
Goldfields-Esperance Region,85914.0,91975.0,6061.0,7.05
Great Southern District,123299.0,129598.0,6299.0,5.11
Joondalup District,607592.0,658944.0,51352.0,8.45
Kimberley District,47019.0,51852.0,4833.0,10.28
Mandurah District,364681.0,409526.0,44845.0,12.3
Mid West-Gascoyne District,86739.0,94658.0,7919.0,9.13
Midland District,418225.0,452303.0,34078.0,8.15
Mirrabooka District,438507.0,476035.0,37528.0,8.56
Perth District,228282.0,244721.0,16439.0,7.2
Pilbara District,119276.0,124766.0,5490.0,4.6
South West District,270572.0,291865.0,21293.0,7.87
Wheatbelt District,84585.0,90189.0,5604.0,6.63
