,District,Total Persons,FINANCIAL,INCHOATE,PERSONAL,PROPERTY,STATUTORY,Offence per capita
0,Armadale District,245095.0,1370.0,281.0,3976.0,16547.0,5157.0,0.11151186274709807
1,Cannington District,375806.0,1977.0,309.0,3184.0,21111.0,3762.0,0.08074112707088232
2,Fremantle District,474743.0,1904.0,186.0,2820.0,18944.0,3805.0,0.05826099594938735
3,Goldfields-Esperance District,91975.0,552.0,117.0,1523.0,5566.0,1936.0,0.10539820603424843
4,Great Southern District,129598.0,840.0,45.0,1275.0,4037.0,2201.0,0.06480038272195558
5,Joondalup District,658944.0,1181.0,162.0,3622.0,16451.0,6246.0,0.04197928807303807
6,Kimberley District,51852.0,410.0,230.0,3308.0,4852.0,2248.0,0.21306796266296382
7,Mandurah District,409526.0,1628.0,317.0,4753.0,18943.0,4970.0,0.07474739088604875
8,Mid West-Gascoyne District,94658.0,481.0,106.0,1710.0,6549.0,2732.0,0.12231401466331425
9,Midland District,452303.0,1488.0,272.0,4095.0,15080.0,4472.0,0.0561725215176552
10,Mirrabooka District,476035.0,1818.0,208.0,3582.0,18690.0,4704.0,0.060924091715945254
11,Perth District,244721.0,2157.0,222.0,2941.0,14859.0,4087.0,0.09915781645220476
12,Pilbara District,124766.0,376.0,95.0,2251.0,4457.0,1616.0,0.07049196095090009
13,South West District,291865.0,656.0,92.0,2008.0,9931.0,4524.0,0.058969043907285905
14,Wheatbelt District,90189.0,595.0,76.0,866.0,3127.0,1498.0,0.06832318797192562
